step 50/3000  loss 0.9568  617 ms/step
step 100/3000  loss 0.6197  635 ms/step
step 150/3000  loss 0.2107  629 ms/step
step 200/3000  loss 0.0861  631 ms/step
step 250/3000  loss 0.0652  626 ms/step
step 300/3000  loss 0.0556  622 ms/step
step 350/3000  loss 0.0421  651 ms/step
step 400/3000  loss 0.0386  710 ms/step
step 450/3000  loss 0.0357  700 ms/step
step 500/3000  loss 0.0330  698 ms/step
step 550/3000  loss 0.0327  694 ms/step
step 600/3000  loss 0.0274  686 ms/step
step 650/3000  loss 0.0277  681 ms/step
step 700/3000  loss 0.0284  681 ms/step
step 750/3000  loss 0.0260  726 ms/step
step 800/3000  loss 0.0241  719 ms/step
step 850/3000  loss 0.0243  953 ms/step
step 900/3000  loss 0.0254  933 ms/step
step 950/3000  loss 0.0221  915 ms/step
step 1000/3000  loss 0.0224  903 ms/step
step 1050/3000  loss 0.0232  892 ms/step
step 1100/3000  loss 0.0226  884 ms/step
step 1150/3000  loss 0.0224  873 ms/step
step 1200/3000  loss 0.0218  865 ms/step
step 1250/3000  loss 0.0206  855 ms/step
step 1300/3000  loss 0.0201  847 ms/step
step 1350/3000  loss 0.0198  841 ms/step
step 1400/3000  loss 0.0212  834 ms/step
step 1450/3000  loss 0.0188  828 ms/step
step 1500/3000  loss 0.0191  820 ms/step
step 1550/3000  loss 0.0190  815 ms/step
step 1600/3000  loss 0.0199  810 ms/step
step 1650/3000  loss 0.0201  803 ms/step
step 1700/3000  loss 0.0203  798 ms/step
step 1750/3000  loss 0.0199  792 ms/step
step 1800/3000  loss 0.0196  787 ms/step
step 1850/3000  loss 0.0197  783 ms/step
step 1900/3000  loss 0.0190  780 ms/step
step 1950/3000  loss 0.0182  776 ms/step
step 2000/3000  loss 0.0187  771 ms/step
step 2050/3000  loss 0.0193  767 ms/step
step 2100/3000  loss 0.0190  763 ms/step
step 2150/3000  loss 0.0181  759 ms/step
step 2200/3000  loss 0.0181  755 ms/step
step 2250/3000  loss 0.0173  751 ms/step
step 2300/3000  loss 0.0181  748 ms/step
step 2350/3000  loss 0.0182  744 ms/step
step 2400/3000  loss 0.0168  741 ms/step
step 2450/3000  loss 0.0176  737 ms/step
step 2500/3000  loss 0.0182  734 ms/step
step 2550/3000  loss 0.0180  732 ms/step
step 2600/3000  loss 0.0179  729 ms/step
step 2650/3000  loss 0.0168  727 ms/step
step 2700/3000  loss 0.0171  724 ms/step
step 2750/3000  loss 0.0164  721 ms/step
step 2800/3000  loss 0.0174  719 ms/step
step 2850/3000  loss 0.0170  716 ms/step
step 2900/3000  loss 0.0169  714 ms/step
step 2950/3000  loss 0.0167  712 ms/step
step 3000/3000  loss 0.0171  710 ms/step
